,State Name,"April 1, 2010 Census","April 1, 2011 Base","July 1, 2010 Population","July 1, 2011 Population"
0,United States,308745538,308745538,309330219,311591917
1,California,37253956,37253956,37338198,37691912
2,Texas,25145561,25145561,25253466,25674681
3,New York,19378102,19378104,19395206,19465197
4,Florida,18801310,18801311,18838613,19057542
5,Illinois,12830632,12830632,12841980,12869257
6,Pennsylvania,12702379,12702379,12717722,12742886
7,Ohio,11536504,11536502,11537968,11544951
8,Michigan,9883640,9883635,9877143,9876187
9,Georgia,9687653,9687660,9712157,9815210
10,North Carolina,9535483,9535475,9560234,9656401
11,New Jersey,8791894,8791894,8799593,8821155
12,Virginia,8001024,8001030,8023953,8096604
13,Washington,6724540,6724540,6742950,6830038
14,Massachusetts,6547629,6547629,6555466,6587536
15,Indiana,6483802,6483800,6490622,6516922
16,Arizona,6392017,6392013,6413158,6482505
17,Tennessee,6346105,6346110,6357436,6403353
18,Missouri,5988927,5988927,5995715,6010688
19,Maryland,5773552,5773552,5785681,5828289
20,Wisconsin,5686986,5686986,5691659,5711767
21,Minnesota,5303925,5303925,5310658,5344861
22,Colorado,5029196,5029196,5047692,5116796
23,Alabama,4779736,4779735,4785401,4802740
24,South Carolina,4625364,4625364,4637106,4679230
25,Louisiana,4533372,4533372,4545343,4574836
26,Kentucky,4339367,4339362,4347223,4369356
27,Oregon,3831074,3831074,3838332,3871859
28,Oklahoma,3751351,3751354,3760184,3791508
29,Puerto Rico,3725789,3725789,3721978,3706690
30,Connecticut,3574097,3574097,3575498,3580709
31,Iowa,3046355,3046350,3050202,3062309
32,Mississippi,2967297,2967297,2970072,2978512
33,Arkansas,2915918,2915921,2921588,2937979
34,Kansas,2853118,2853118,2859143,2871238
35,Utah,2763885,2763885,2775479,2817222
36,Nevada,2700551,2700551,2704283,2723322
37,New Mexico,2059179,2059180,2065913,2082224
38,West Virginia,1852994,1852996,1854368,1855364
39,Nebraska,1826341,1826341,1830141,1842641
40,Idaho,1567582,1567582,1571102,1584985
41,Hawaii,1360301,1360301,1363359,1374810
42,Maine,1328361,1328361,1327379,1328188
43,New Hampshire,1316470,1316472,1316807,1318194
44,Rhode Island,1052567,1052567,1052528,1051302
45,Montana,989415,989415,990958,998199
46,Delaware,897934,897934,899792,907135
47,South Dakota,814180,814180,816598,824082
48,Alaska,710231,710231,714146,722718
49,North Dakota,672591,672591,674629,683932
50,Vermont,625741,625741,625909,626431
51,District of Columbia,601723,601723,604912,617996
52,Wyoming,563626,563626,564554,568158
